id,theme,category,target,angle,status
1,別居して最初の1ヶ月で生活が崩れた話と立て直した方法,生活改善,30代男性,再スタート,GENERATED
2,メンタルが落ちたときにやって効果あった習慣7つ,生活改善,ストレスを抱える社会人,実践ノウハウ,GENERATED
3,別居後にやってよかった固定ルーティン,生活改善,一人暮らし初心者,習慣化,DOING
4,一人暮らし再スタートで最初に整えるべき3つ,生活改善,30代男性,初期設計,DOING
5,生活が整わない人の共通点と抜け出し方,生活改善,生活改善したい人,原因分析,TODO
6,忙しくても続いた平日夜の自炊ルーティン,自炊,会社員,時短,TODO
7,10kg痩せたときのリアルな食事内容,自炊,ダイエットしたい人,再現性,TODO
8,自炊が続かない人のための最小構成キッチン,自炊,一人暮らし初心者,環境設計,TODO
9,コンビニ生活から抜けたきっかけと具体ステップ,自炊,忙しい社会人,行動変容,TODO
10,自炊で一番コスパがいい食材ランキング,自炊,節約志向の人,コスパ,TODO
11,正しさで人間関係を壊した話,夫婦,人間関係に悩む人,内省,TODO
12,夫婦関係で一番つらかった瞬間とその後,夫婦,既婚者,共感,TODO
13,感情を言葉にできなかった頃の自分,夫婦,自己理解したい人,自己分析,TODO
14,別居して気づいた相手に求めすぎていたこと,夫婦,既婚男性,気づき,TODO
15,話し合いがうまくいかない人の共通パターン,夫婦,夫婦関係に悩む人,パターン分析,TODO
16,noteを自動化して記事を量産する仕組み,副業,副業志向の人,仕組み化,TODO
17,副業で最初にやるべきこととやらなくていいこと,副業,初心者,優先順位,TODO
18,継続できる副業と挫折する副業の違い,副業,副業検討中の人,比較,TODO
19,0から1を作るためにやったこと全部公開,副業,副業初心者,実体験,TODO
20,仕事副業家庭を両立するための時間設計,副業,多忙な社会人,時間管理,TODO
